iteration,solved,valid_moves,total_moves
747,True,15884,44304
748,True,6878,20259
749,True,17480,50563
750,True,16200,46565
751,True,78536,218910
752,True,80038,224635
753,True,12684,35530
754,True,40301,115353
755,True,7166,21923
756,True,16238,44504
757,True,35281,98978
758,True,35234,97833
759,True,117186,327619
760,True,17269,49877
761,True,15444,46889
762,True,25177,75092
763,True,40362,115340
764,True,10596,31238
765,True,10318,30417
766,True,51355,140463
767,True,67301,197851
768,True,29967,86413
769,True,15283,44701
770,True,36469,103096
771,True,110504,310792
772,True,21623,61193
773,True,38599,107519
774,True,16633,47609
775,True,21397,58638
776,True,42921,124017
777,True,93800,259856
778,True,66135,190780
779,True,34099,94452
780,True,42733,119632
781,True,9327,27107
782,True,31754,95280
783,True,62240,173543
784,True,49066,135820
785,True,89899,252480
786,True,52208,148217
787,True,3428,10451
788,True,46261,132755
789,True,12123,36039
790,True,107724,305273
791,True,20459,55086
792,True,47927,135171
793,True,15218,44636
794,True,85468,241791
795,True,25731,72140
796,True,45371,126058
797,True,84356,237112
798,True,11434,31050
799,True,74222,203554
800,True,10693,30355
801,True,68679,193291
802,True,13722,39395
803,True,16541,50423
804,True,29038,84980
805,True,7305,19315
806,True,13372,37231
807,True,6322,18020
808,True,65000,182532
809,True,89423,245547
810,True,26900,73032
811,True,31970,87602
812,True,18630,50214
813,True,41996,117115
814,True,15773,46765
815,True,122206,351123
816,True,6390,18812
817,True,36469,102065
818,True,25112,71694
819,True,13435,38341
820,True,22708,65919
821,True,7220,20288
822,True,34723,97540
823,True,61135,169407
824,True,9177,26617
825,True,11452,35524
826,True,30443,83827
827,True,35819,99394
828,True,1887,5532
829,True,60530,167121
830,True,76020,218607
831,True,44562,124666
832,True,38190,107797
833,True,98182,278962
834,True,51806,152760
835,True,6645,19819
836,True,8668,23784
837,True,13657,38608
838,True,20944,58233
839,True,138038,389393
840,True,40317,120306
841,True,11323,32958
842,True,34213,97185
843,True,169676,481100
844,True,16895,47752
845,True,34712,97725
846,True,3200,9424
847,True,9022,26833
848,True,58342,162590
849,True,13663,39912
850,True,13130,36811
851,True,90966,253993
852,True,2530,7334
853,True,30453,86848
854,True,4722,13109
855,True,30151,85992
856,True,5731,16828
857,True,37401,103115
858,True,55839,153178
859,True,37892,104626
860,True,5062,13772
861,True,20415,58089
862,True,4278,13725
863,True,14090,41044
864,True,30028,83026
865,True,59948,173594
866,True,62769,174764
867,True,5908,17093
868,True,60123,168314
869,True,6839,18970
870,True,56976,157964
871,True,16415,47892
872,True,41315,116217
873,True,41035,116313
874,True,9070,26025
875,True,12730,39376
876,True,15265,44294
877,True,25585,70916
878,True,5725,15916
879,True,55517,150496
880,True,22023,64404
881,True,6090,17659
882,True,143918,397063
883,True,21472,61673
884,True,90599,256753
